"ra_id","ra_tranid","ra_date","item_id","item_name","ra_item_qty","received_qty","latest_ir_date","qty_over_returned","is_over_returned"
"21784753","RMA647743","12/26/2025","3058","CloudEmbrace Wireless Bra - Vamp / 32B","1","2","01/07/2026","1","T"
"21784753","RMA647743","12/26/2025","1175","LiftWear CrossOver Bra - Vamp / Small","1","2","01/07/2026","1","T"
"21786776","RMA647842","12/26/2025","3111","CloudEmbrace Wireless Bra - Sand / 38D","1","2","01/07/2026","1","T"
"21786776","RMA647842","12/26/2025","3076","CloudEmbrace Wireless Bra - Vamp / 38D","1","2","01/07/2026","1","T"
"21776260","RMA647427","12/25/2025","5683","CloudEmbrace Wireless Bra - Pink Cloud 34D","1","2","01/07/2026","1","T"
"21776260","RMA647427","12/25/2025","3099","CloudEmbrace Wireless Bra - Sand / 34D","1","2","01/07/2026","1","T"
"21740100","RMA646041","12/23/2025","5985","CrossOver Brief - Blush / Large","1","2","01/07/2026","1","T"
"21740100","RMA646041","12/23/2025","4292","LiftWear CrossOver Bra - Vamp 36D/DD(E)","1","2","01/07/2026","1","T"
"21721759","RMA644961","12/22/2025","1104","LiftWear Silhouette Bra - Sand / Large","1","2","01/07/2026","1","T"
"21721759","RMA644961","12/22/2025","1105","LiftWear Silhouette Bra - Vamp / Large","1","2","01/07/2026","1","T"
"21721759","RMA644961","12/22/2025","6411","Silhouette Bra - Astral M+","1","2","01/07/2026","1","T"
"21725052","RMA645210","12/22/2025","3097","CloudEmbrace Wireless Bra - Sand / 34B","1","2","01/07/2026","1","T"
"21725052","RMA645210","12/22/2025","3062","CloudEmbrace Wireless Bra - Vamp / 34B","1","2","01/07/2026","1","T"
"21728331","RMA645448","12/22/2025","6385","Silhouette Bra - Fig 3X","1","2","01/07/2026","1","T"
"21728331","RMA645448","12/22/2025","9729","SoftForm Bra - Sand 2X","3","6","01/07/2026","3","T"
"21730004","RMA645553","12/22/2025","5686","CloudEmbrace Wireless Bra - Pink Cloud 36C","1","2","01/07/2026","1","T"
"21730004","RMA645553","12/22/2025","3104","CloudEmbrace Wireless Bra - Sand / 36C","1","2","01/07/2026","1","T"
"21702849","RMA644253","12/21/2025","3789","CloudEmbrace Wireless Bra - Vamp 34DD(E)","1","2","01/07/2026","1","T"
"21702849","RMA644253","12/21/2025","7676","CrossFlex Bra - Runway S+","1","2","01/07/2026","1","T"
"21703710","RMA644369","12/21/2025","3105","CloudEmbrace Wireless Bra - Sand / 36D","1","2","01/07/2026","1","T"
"21703710","RMA644369","12/21/2025","3070","CloudEmbrace Wireless Bra - Vamp / 36D","1","2","01/07/2026","1","T"
"21695805","RMA643759","12/20/2025","3116","CloudEmbrace Wireless Bra - Sand / 40C","1","2","01/07/2026","1","T"
"21695805","RMA643759","12/20/2025","5542","SuperPower Girl-Short - Sand / L","1","2","01/07/2026","1","T"
"21695805","RMA643759","12/20/2025","5720","SuperPower Girl-Short - Toffee /","1","2","01/07/2026","1","T"
"21697212","RMA643885","12/20/2025","3076","CloudEmbrace Wireless Bra - Vamp / 38D","1","2","01/07/2026","1","T"
"21697212","RMA643885","12/20/2025","5518","SuperPower Brief - Runway / M","1","2","01/07/2026","1","T"
"21662348","RMA641795","12/18/2025","5686","CloudEmbrace Wireless Bra - Pink Cloud 36C","1","2","01/07/2026","1","T"
"21662348","RMA641795","12/18/2025","3069","CloudEmbrace Wireless Bra - Vamp / 36C","1","2","01/07/2026","1","T"
"21637283","RMA640471","12/17/2025","11598","LiftWear CrossOver Bra - Astral S++","1","2","01/07/2026","1","T"
"21637283","RMA640471","12/17/2025","4292","LiftWear CrossOver Bra - Vamp 36D/DD(E)","1","2","01/07/2026","1","T"
"21649149","RMA641062","12/17/2025","5686","CloudEmbrace Wireless Bra - Pink Cloud 36C","1","2","01/07/2026","1","T"
"21649149","RMA641062","12/17/2025","3104","CloudEmbrace Wireless Bra - Sand / 36C","1","2","01/07/2026","1","T"
"21649149","RMA641062","12/17/2025","3069","CloudEmbrace Wireless Bra - Vamp / 36C","1","2","01/07/2026","1","T"
"21604685","RMA638996","12/16/2025","5685","CloudEmbrace Wireless Bra - Pink Cloud 36B","1","2","01/07/2026","1","T"
"21604685","RMA638996","12/16/2025","3023","Lace CrossOver Bra - Runway / L","1","2","01/07/2026","1","T"
"21605451","RMA639081","12/16/2025","12985","CrossOver V-Neck Bra - Runway XS","2","4","01/07/2026","2","T"
"21605451","RMA639081","12/16/2025","3593","CrossOver V-Neck Bra - Sand 34B/C","1","2","01/07/2026","1","T"
"21605451","RMA639081","12/16/2025","11787","LiftWear CrossOver Bra - Runway XS","4","8","01/07/2026","4","T"
"21605451","RMA639081","12/16/2025","3571","LiftWear Silhouette Bra - Blush / S","2","4","01/07/2026","2","T"
"21605451","RMA639081","12/16/2025","3570","LiftWear Silhouette Bra - Blush / XS","1","2","01/07/2026","1","T"
"21605451","RMA639081","12/16/2025","6391","Silhouette Bra - Blush XS+","1","2","01/07/2026","1","T"
"21611856","RMA639504","12/16/2025","3070","CloudEmbrace Wireless Bra - Vamp / 36D","1","4","01/07/2026","3","T"
"21611856","RMA639504","12/16/2025","12940","CrossOver V-Neck Bra - Runway M+","1","4","01/07/2026","3","T"
"21611856","RMA639504","12/16/2025","13013","CrossOver V-Neck Bra - Sand M+","1","4","01/07/2026","3","T"
"21611856","RMA639504","12/16/2025","4291","LiftWear CrossOver Bra - Sand 36D/DD(E)","1","4","01/07/2026","3","T"
"21611856","RMA639504","12/16/2025","4292","LiftWear CrossOver Bra - Vamp 36D/DD(E)","1","4","01/07/2026","3","T"
"21611919","RMA639550","12/16/2025","3064","CloudEmbrace Wireless Bra - Vamp / 34D","1","2","01/07/2026","1","T"
"21611919","RMA639550","12/16/2025","5957","SuperPower Thong - Sand / M","1","2","01/07/2026","1","T"
"21571435","RMA637446","12/15/2025","3133","CloudEmbrace Wireless Bra - Astral / 34C","1","3","01/07/2026","2","T"
"21571435","RMA637446","12/15/2025","3098","CloudEmbrace Wireless Bra - Sand / 34C","1","3","01/07/2026","2","T"
"21571435","RMA637446","12/15/2025","3063","CloudEmbrace Wireless Bra - Vamp / 34C","1","3","01/07/2026","2","T"
"21575537","RMA637705","12/15/2025","3791","CloudEmbrace Wireless Bra - Sand 34DDD(F)","1","2","01/07/2026","1","T"
"21575537","RMA637705","12/15/2025","8480","Silhouette Roses Bra - Sand L","1","2","01/07/2026","1","T"
"21577821","RMA637850","12/15/2025","3803","CloudEmbrace Wireless Bra - Sand 38DDD(F)","1","2","01/07/2026","1","T"
"21577821","RMA637850","12/15/2025","3804","CloudEmbrace Wireless Bra - Vamp 38DDD(F)","1","2","01/07/2026","1","T"
"21591944","RMA638537","12/15/2025","11579","LiftWear CrossOver Bra - Astral L","2","4","01/07/2026","2","T"
"21591944","RMA638537","12/15/2025","9039","LiftWear CrossOver Bra - Blush L","2","4","01/07/2026","2","T"
"21591944","RMA638537","12/15/2025","6532","LiftWear CrossOver Bra - Fig L","1","2","01/07/2026","1","T"
"21591944","RMA638537","12/15/2025","11769","LiftWear CrossOver Bra - Sand L","1","2","01/07/2026","1","T"
"21597046","RMA638629","12/15/2025","11621","LiftWear CrossOver Bra - Blush L","1","2","01/07/2026","1","T"
"21597046","RMA638629","12/15/2025","1104","LiftWear Silhouette Bra - Sand / Large","1","2","01/07/2026","1","T"
"21551202","RMA636308","12/14/2025","3103","CloudEmbrace Wireless Bra - Sand / 36B","1","2","01/07/2026","1","T"
"21551202","RMA636308","12/14/2025","12920","CrossOver V-Neck Bra - Blush M","1","2","01/07/2026","1","T"
"21533989","RMA634702","12/13/2025","3785","CloudEmbrace Wireless Bra - Sand 32DD(E)","1","2","01/07/2026","1","T"
"21533989","RMA634702","12/13/2025","5942","CrossOver V-Neck Bra","1","2","01/07/2026","1","T"
"21538195","RMA635207","12/13/2025","3099","CloudEmbrace Wireless Bra - Sand / 34D","1","3","01/07/2026","2","T"
"21538195","RMA635207","12/13/2025","7677","CrossFlex Bra - Sand S+","1","3","01/07/2026","2","T"
"21538195","RMA635207","12/13/2025","13016","CrossOver V-Neck Bra - Sand S+","1","3","01/07/2026","2","T"
"21529232","RMA634454","12/12/2025","5689","CloudEmbrace Wireless Bra - Pink Cloud 38B","1","2","01/07/2026","1","T"
"21529232","RMA634454","12/12/2025","6357","Silhouette Bra - Fig L","1","2","01/07/2026","1","T"
"21481882","RMA631790","12/11/2025","12971","CrossOver V-Neck Bra - Runway 1X","1","2","01/07/2026","1","T"
"21484466","RMA632015","12/11/2025","11668","LiftWear CrossOver Bra - Fig S","1","2","01/07/2026","1","T"
"21484466","RMA632015","12/11/2025","6027","LiftWear CrossOver Bra - Navy S","1","2","01/07/2026","1","T"
"21486233","RMA632148","12/11/2025","7686","CrossFlex Bra - Astral M+","1","2","01/07/2026","1","T"
"21486233","RMA632148","12/11/2025","7689","CrossFlex Bra - Sand M+","1","2","01/07/2026","1","T"
"21486233","RMA632148","12/11/2025","6411","Silhouette Bra - Astral M+","1","2","01/07/2026","1","T"
"21491936","RMA632503","12/11/2025","1104","LiftWear Silhouette Bra - Sand / Large","3","9","01/07/2026","6","T"
"21469421","RMA630841","12/10/2025","5701","CloudEmbrace Wireless Bra - Pink Cloud 34DD(E)","1","2","01/07/2026","1","T"
"21469421","RMA630841","12/10/2025","3789","CloudEmbrace Wireless Bra - Vamp 34DD(E)","1","2","01/07/2026","1","T"
"21473264","RMA631270","12/10/2025","12966","CrossOver V-Neck Bra - Blush XL","1","2","01/07/2026","1","T"
"21473264","RMA631270","12/10/2025","13027","CrossOver V-Neck Bra - Vamp L","1","2","01/07/2026","1","T"
"21473264","RMA631270","12/10/2025","8483","Silhouette Roses Bra - Blush XL","1","2","01/07/2026","1","T"
"21473577","RMA631291","12/10/2025","3150","CloudEmbrace Wireless Bra - Astral / 40B","1","2","01/07/2026","1","T"
"21473577","RMA631291","12/10/2025","5693","CloudEmbrace Wireless Bra - Pink Cloud 40B","1","2","01/07/2026","1","T"
"21438463","RMA628602","12/09/2025","3138","CloudEmbrace Wireless Bra - Astral / 36B","1","3","01/07/2026","2","T"
"21438463","RMA628602","12/09/2025","7614","CrossFlex Bra - Astral M","1","3","01/07/2026","2","T"
"21438463","RMA628602","12/09/2025","9752","SoftForm Bra - Astral M","1","3","01/07/2026","2","T"
"21440022","RMA628722","12/09/2025","3085","CloudEmbrace Wireless Bra - Vamp / 42C","1","2","01/07/2026","1","T"
"21440022","RMA628722","12/09/2025","12929","CrossOver V-Neck Bra - Runway 3X","1","2","01/07/2026","1","T"
"21440022","RMA628722","12/09/2025","11712","LiftWear CrossOver Bra - Navy 3X","1","2","01/07/2026","1","T"
"21445214","RMA629099","12/09/2025","11569","LiftWear CrossOver Bra - Astral 1X","1","3","01/07/2026","2","T"
"21445214","RMA629099","12/09/2025","11623","LiftWear CrossOver Bra - Blush 1X","1","3","01/07/2026","2","T"
"21445214","RMA629099","12/09/2025","11792","LiftWear CrossOver Bra - Sand 1X","1","3","01/07/2026","2","T"
"21414588","RMA626869","12/08/2025","7712","CrossFlex Bra - Runway 1X+","2","6","01/07/2026","4","T"
"21414588","RMA626869","12/08/2025","7713","CrossFlex Bra - Sand 1X+","1","3","01/07/2026","2","T"
"21414588","RMA626869","12/08/2025","6644","LiftWear CrossOver Bra - Runway 1X+","1","3","01/07/2026","2","T"
"21416713","RMA627080","12/08/2025","3120","CloudEmbrace Wireless Bra - Sand / 42C","2","4","01/07/2026","2","T"
"21416713","RMA627080","12/08/2025","6092","LiftWear CrossOver Bra - Sand 2X","1","2","01/07/2026","1","T"
"21422478","RMA627419","12/08/2025","8475","Silhouette Roses Bra - Blush M","1","2","01/07/2026","1","T"
"21422478","RMA627419","12/08/2025","8477","Silhouette Roses Bra - Vamp M","1","2","01/07/2026","1","T"
"21423314","RMA627505","12/08/2025","2972","LiftWear CrossOver Bra - Runway / M","1","2","01/07/2026","1","T"
"21423314","RMA627505","12/08/2025","9036","LiftWear CrossOver Bra - Sand M","1","2","01/07/2026","1","T"
"21425112","RMA627647","12/08/2025","12987","CrossOver V-Neck Bra - Sand 1X","1","2","01/07/2026","1","T"
"21425112","RMA627647","12/08/2025","12946","CrossOver V-Neck Bra - Vamp 1X","1","2","01/07/2026","1","T"
"21427345","RMA627921","12/08/2025","5686","CloudEmbrace Wireless Bra - Pink Cloud 36C","1","3","01/07/2026","2","T"
"21427345","RMA627921","12/08/2025","3104","CloudEmbrace Wireless Bra - Sand / 36C","2","6","01/07/2026","4","T"
"21427345","RMA627921","12/08/2025","3069","CloudEmbrace Wireless Bra - Vamp / 36C","1","3","01/07/2026","2","T"
"21375701","RMA625496","12/07/2025","6609","LiftWear CrossOver Bra - Sand M+","1","2","01/07/2026","1","T"
"21375701","RMA625496","12/07/2025","3523","SoftForm Bra - Sand / L","1","2","01/07/2026","1","T"
"21376984","RMA625635","12/07/2025","4909","SoftForm Bra - Aubergine / L","1","2","01/07/2026","1","T"
"21376984","RMA625635","12/07/2025","3519","SoftForm Bra - Fig / L","1","2","01/07/2026","1","T"
"21376984","RMA625635","12/07/2025","3523","SoftForm Bra - Sand / L","1","2","01/07/2026","1","T"
"21379078","RMA625744","12/07/2025","824","LiftWear Cami - Vamp / XL","1","2","01/07/2026","1","T"
"21379078","RMA625744","12/07/2025","8567","LiftWear Tank - Sand / XL","1","2","01/07/2026","1","T"
"21379947","RMA625820","12/07/2025","604","LiftWear Tank - Runway / Large","1","2","01/07/2026","1","T"
"21379947","RMA625820","12/07/2025","8561","LiftWear Tank - Sand / L","1","2","01/07/2026","1","T"
"21380929","RMA625924","12/07/2025","3097","CloudEmbrace Wireless Bra - Sand / 34B","2","4","01/07/2026","2","T"
"21380929","RMA625924","12/07/2025","12942","CrossOver V-Neck Bra - Runway S","1","2","01/07/2026","1","T"
"21380929","RMA625924","12/07/2025","13012","CrossOver V-Neck Bra - Sand M","1","2","01/07/2026","1","T"
"21380929","RMA625924","12/07/2025","13015","CrossOver V-Neck Bra - Sand S","1","2","01/07/2026","1","T"
"21380929","RMA625924","12/07/2025","11772","LiftWear CrossOver Bra - Sand M","1","2","01/07/2026","1","T"
"21380929","RMA625924","12/07/2025","6032","LiftWear CrossOver Bra - Sand S","1","2","01/07/2026","1","T"
"21380929","RMA625924","12/07/2025","1095","LiftWear Silhouette Bra - Sand / Medium","3","6","01/07/2026","3","T"
"21380929","RMA625924","12/07/2025","5623","MeshSculpt Mid-Waist Short - Sand / S","1","2","01/07/2026","1","T"
"21392698","RMA626407","12/07/2025","2982","LiftWear CrossOver Bra - Vamp / L","1","2","01/07/2026","1","T"
"21392698","RMA626407","12/07/2025","1104","LiftWear Silhouette Bra - Sand / Large","1","2","01/07/2026","1","T"
"21361888","RMA624375","12/06/2025","6617","LiftWear CrossOver Bra - Runway M++","1","2","01/07/2026","1","T"
"21361888","RMA624375","12/06/2025","9682","SoftForm Bra - Astral M++","1","2","01/07/2026","1","T"
"21362050","RMA624401","12/06/2025","5992","CrossOver Brief - Runway / XL","1","2","01/07/2026","1","T"
"21362050","RMA624401","12/06/2025","2996","LiftWear CrossOver Bra - Runway / 1X","1","2","01/07/2026","1","T"
"21363650","RMA624515","12/06/2025","5705","CloudEmbrace Wireless Bra - Pink Cloud 38DD(E)","1","2","01/07/2026","1","T"
"21363650","RMA624515","12/06/2025","3801","CloudEmbrace Wireless Bra - Vamp 38DD(E)","1","2","01/07/2026","1","T"
"21364739","RMA624660","12/06/2025","11596","LiftWear CrossOver Bra - Astral S+","1","3","01/07/2026","2","T"
"21364739","RMA624660","12/06/2025","11782","LiftWear CrossOver Bra - Sand S+","1","3","01/07/2026","2","T"
"21364739","RMA624660","12/06/2025","4274","LiftWear CrossOver Bra - Vamp 34DDD(F)/G","1","3","01/07/2026","2","T"
"21365105","RMA624696","12/06/2025","3797","CloudEmbrace Wireless Bra - Sand 36DDD(F)","1","3","01/07/2026","2","T"
"21365105","RMA624696","12/06/2025","4300","LiftWear CrossOver Bra - Sand 36DDD(F)/G","1","3","01/07/2026","2","T"
"21365105","RMA624696","12/06/2025","10294","Low-Back Bodysuit - Sand / M","2","6","01/07/2026","4","T"
"21368755","RMA625086","12/06/2025","12969","CrossOver V-Neck Bra - Blush XS","1","2","01/07/2026","1","T"
"21368755","RMA625086","12/06/2025","4954","LiftWear CrossOver Bra - Sand 34D/DD(E)","1","2","01/07/2026","1","T"
"21369910","RMA625233","12/06/2025","4363","LiftWear CrossOver Bra - Sand 42DD(E)/DDD(F)","1","2","01/07/2026","1","T"
"21369910","RMA625233","12/06/2025","5496","SuperPower Short - Sand / XL","1","2","01/07/2026","1","T"
"21370006","RMA625248","12/06/2025","9747","SoftForm Bra - Astral 2X","1","2","01/07/2026","1","T"
"21370006","RMA625248","12/06/2025","9729","SoftForm Bra - Sand 2X","1","2","01/07/2026","1","T"
"21370006","RMA625248","12/06/2025","9708","SoftForm Bra - Vamp 2X","1","2","01/07/2026","1","T"
"21370935","RMA625316","12/06/2025","11630","LiftWear CrossOver Bra - Blush M+","1","2","01/07/2026","1","T"
"21370935","RMA625316","12/06/2025","4292","LiftWear CrossOver Bra - Vamp 36D/DD(E)","1","2","01/07/2026","1","T"
"21371598","RMA625342","12/06/2025","4292","LiftWear CrossOver Bra - Vamp 36D/DD(E)","1","3","01/07/2026","2","T"
"21371598","RMA625342","12/06/2025","3534","SoftForm Bra - Vamp / XL","2","6","01/07/2026","4","T"
"21344078","RMA623376","12/05/2025","850","LiftWear Cami - Navy / 3X","1","2","01/07/2026","1","T"
"21344078","RMA623376","12/05/2025","688","LiftWear Tank - Astral / 3X","1","2","01/07/2026","1","T"
"21322473","RMA622579","12/04/2025","4291","LiftWear CrossOver Bra - Sand 36D/DD(E)","2","4","01/07/2026","2","T"
"21323162","RMA622603","12/04/2025","11596","LiftWear CrossOver Bra - Astral S+","1","2","01/07/2026","1","T"
"21323162","RMA622603","12/04/2025","11638","LiftWear CrossOver Bra - Blush S+","1","2","01/07/2026","1","T"
"21323162","RMA622603","12/04/2025","11782","LiftWear CrossOver Bra - Sand S+","1","2","01/07/2026","1","T"
"21323171","RMA622606","12/04/2025","2736","Open-Bust Mid-Thigh Bodysuit - Sand / L","1","2","01/07/2026","1","T"
"21323171","RMA622606","12/04/2025","2732","Open-Bust Mid-Thigh Bodysuit - Sand / M","1","2","01/07/2026","1","T"
"21324577","RMA622650","12/04/2025","5695","CloudEmbrace Wireless Bra - Pink Cloud 40D","1","2","01/07/2026","1","T"
"21324577","RMA622650","12/04/2025","3117","CloudEmbrace Wireless Bra - Sand / 40D","1","2","01/07/2026","1","T"
"21325579","RMA622713","12/04/2025","1113","LiftWear Silhouette Bra - Sand / XL","1","2","01/07/2026","1","T"
"21325579","RMA622713","12/04/2025","6398","Silhouette Bra - Blush S+","1","2","01/07/2026","1","T"
"21325967","RMA622746","12/04/2025","9908","Silhouette Bra - Ruby L","1","2","01/07/2026","1","T"
